ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO,FARM_LOCPLC
7487,충청북도,단양군,매포읍,토끼,2,충청북도 단양군 매포읍
7488,경상북도,영주시,평은면,염소,5,경상북도 영주시 평은면
7489,경상남도,함양군,안의면,돼지,6,경상남도 함양군 안의면
7490,울산광역시,북구,중산동,닭,9,울산광역시 북구 중산동
7491,전라남도,완도군,약산면,닭,18,전라남도 완도군 약산면
7492,충청남도,서천군,종천면,염소,6,충청남도 서천군 종천면
7493,울산광역시,울주군,두서면,오리,3,울산광역시 울주군 두서면
7494,전라남도,순천시,황전면,오리,2,전라남도 순천시 황전면
7495,충청남도,천안시 동남구,광덕면,염소,4,충청남도 천안시 동남구 광덕면
7496,충청남도,태안군,안면읍,기러기,2,충청남도 태안군 안면읍
7497,경상남도,창원시 진해구,태백동,오리,1,경상남도 창원시 진해구 태백동
7498,충청남도,공주시,계룡면,거위,2,충청남도 공주시 계룡면
7499,경기도,광명시,노온사동,염소,3,경기도 광명시 노온사동
7500,경기도,평택시,고덕면,오리,1,경기도 평택시 고덕면
7501,전라북도,정읍시,북면,돼지,4,전라북도 정읍시 북면
7502,경상북도,구미시,도개면,돼지,2,경상북도 구미시 도개면
7503,강원도,화천군,간동면,꿀벌,1,강원도 화천군 간동면
7504,충청북도,청주시 상당구,산성동,오리,2,충청북도 청주시 상당구 산성동
7505,경상남도,밀양시,상동면,염소,4,경상남도 밀양시 상동면
7506,경상남도,밀양시,상동면,거위,1,경상남도 밀양시 상동면
7507,강원도,강릉시,주문진읍,돼지,3,강원도 강릉시 주문진읍
7508,경상북도,의성군,옥산면,염소,6,경상북도 의성군 옥산면
7509,강원도,삼척시,미로면,거위,3,강원도 삼척시 미로면
7510,광주광역시,남구,화장동,닭,2,광주광역시 남구 화장동
7511,경기도,광명시,노온사동,사슴,1,경기도 광명시 노온사동
7512,경기도,안성시,일죽면,닭,13,경기도 안성시 일죽면
7513,경기도,연천군,청산면,돼지,2,경기도 연천군 청산면
7514,충청남도,홍성군,은하면,거위,1,충청남도 홍성군 은하면
7515,경상남도,통영시,도산면,꿀벌,3,경상남도 통영시 도산면
7516,경기도,이천시,모가면,염소,5,경기도 이천시 모가면
7517,강원도,원주시,반곡동,타조,1,강원도 원주시 반곡동
7518,경상남도,진주시,사봉면,닭,9,경상남도 진주시 사봉면
7519,경상남도,거창군,남상면,토끼,2,경상남도 거창군 남상면
7520,강원도,횡성군,갑천면,염소,1,강원도 횡성군 갑천면
7521,충청북도,보은군,마로면,칠면조,2,충청북도 보은군 마로면
7522,충청북도,진천군,백곡면,염소,7,충청북도 진천군 백곡면
7523,대전광역시,유성구,학하동,염소,1,대전광역시 유성구 학하동
7524,충청남도,태안군,원북면,닭,27,충청남도 태안군 원북면
7525,경상남도,함안군,산인면,오리,1,경상남도 함안군 산인면
7526,강원도,동해시,구미동,기러기,1,강원도 동해시 구미동
7527,전라남도,해남군,송지면,닭,6,전라남도 해남군 송지면
7528,경기도,광주시,곤지암읍,거위,1,경기도 광주시 곤지암읍
7529,강원도,원주시,문막읍,말,1,강원도 원주시 문막읍
7530,충청북도,청주시 흥덕구,지동동,사슴,1,충청북도 청주시 흥덕구 지동동
7531,전라북도,임실군,관촌면,꿀벌,1,전라북도 임실군 관촌면
7532,충청남도,예산군,대흥면,닭,25,충청남도 예산군 대흥면
7533,경상북도,군위군,산성면,꿀벌,1,경상북도 군위군 산성면
7534,경상남도,진주시,금곡면,염소,10,경상남도 진주시 금곡면
7535,경상북도,경주시,외동읍,염소,8,경상북도 경주시 외동읍
7536,전라북도,무주군,무풍면,돼지,3,전라북도 무주군 무풍면
7537,경기도,파주시,파주읍,돼지,5,경기도 파주시 파주읍
7538,전라남도,나주시,공산면,오리,8,전라남도 나주시 공산면
7539,전라남도,여수시,율촌면,오리,1,전라남도 여수시 율촌면
7540,강원도,원주시,태장동,닭,8,강원도 원주시 태장동
7541,경상북도,경주시,현곡면,염소,5,경상북도 경주시 현곡면
7542,경상북도,칠곡군,석적읍,닭,5,경상북도 칠곡군 석적읍
7543,전라남도,무안군,삼향읍,돼지,14,전라남도 무안군 삼향읍
7544,충청북도,제천시,신백동,꿀벌,1,충청북도 제천시 신백동
7545,충청남도,공주시,봉정동,닭,1,충청남도 공주시 봉정동
7546,경기도,양평군,개군면,꿀벌,1,경기도 양평군 개군면
7547,경상북도,봉화군,봉성면,사슴,2,경상북도 봉화군 봉성면
7548,경상남도,창원시 의창구,북면,관상조,5,경상남도 창원시 의창구 북면
7549,충청북도,괴산군,소수면,꿀벌,1,충청북도 괴산군 소수면
7550,충청남도,공주시,계룡면,염소,9,충청남도 공주시 계룡면
7551,강원도,강릉시,안현동,닭,7,강원도 강릉시 안현동
7552,경상북도,영주시,봉현면,꿀벌,1,경상북도 영주시 봉현면
7553,세종특별자치시,,연서면,관상조,1,세종특별자치시 nan 연서면
7554,경상북도,영주시,단산면,돼지,5,경상북도 영주시 단산면
7555,경상북도,울진군,평해읍,사슴,2,경상북도 울진군 평해읍
7556,충청남도,공주시,태봉동,닭,5,충청남도 공주시 태봉동
7557,경상남도,밀양시,삼랑진읍,칠면조,1,경상남도 밀양시 삼랑진읍
7558,전라남도,광양시,다압면,염소,1,전라남도 광양시 다압면
7559,강원도,양양군,서면,사슴,1,강원도 양양군 서면
7560,전라북도,익산시,오산면,닭,8,전라북도 익산시 오산면
7561,경상북도,포항시 남구,호미곶면,면양,1,경상북도 포항시 남구 호미곶면
7562,경상북도,포항시 남구,호미곶면,관상조,1,경상북도 포항시 남구 호미곶면
7563,충청남도,서천군,종천면,관상조,2,충청남도 서천군 종천면
7564,전라남도,신안군,임자면,염소,2,전라남도 신안군 임자면
7565,경기도,연천군,미산면,꿀벌,1,경기도 연천군 미산면
7566,부산광역시,동래구,온천동,닭,1,부산광역시 동래구 온천동
7567,전라북도,군산시,서수면,염소,10,전라북도 군산시 서수면
7568,전라남도,광양시,태인동,닭,3,전라남도 광양시 태인동
7569,전라남도,진도군,지산면,관상조,1,전라남도 진도군 지산면
7570,경기도,안성시,죽산면,사슴,2,경기도 안성시 죽산면
7571,경상남도,진주시,내동면,관상조,1,경상남도 진주시 내동면
7572,전라북도,전주시 덕진구,도덕동,닭,1,전라북도 전주시 덕진구 도덕동
7573,전라남도,강진군,군동면,사슴,2,전라남도 강진군 군동면
7574,전라남도,화순군,한천면,메추리,1,전라남도 화순군 한천면
7575,경기도,시흥시,광석동,닭,1,경기도 시흥시 광석동
7576,경기도,양평군,개군면,돼지,6,경기도 양평군 개군면
7577,경기도,연천군,미산면,돼지,8,경기도 연천군 미산면
7578,충청북도,보은군,장안면,돼지,3,충청북도 보은군 장안면
7579,전라남도,영암군,미암면,메추리,1,전라남도 영암군 미암면
7580,경상남도,함안군,법수면,거위,2,경상남도 함안군 법수면
7581,경상북도,영천시,대창면,돼지,5,경상북도 영천시 대창면
7582,경상남도,사천시,축동면,염소,8,경상남도 사천시 축동면
7583,전라남도,함평군,손불면,오리,2,전라남도 함평군 손불면
7584,전라북도,순창군,풍산면,당나귀,1,전라북도 순창군 풍산면
7585,충청남도,당진시,대덕동,닭,6,충청남도 당진시 대덕동
7586,경상남도,거창군,위천면,염소,7,경상남도 거창군 위천면
7587,전라남도,담양군,대전면,오리,2,전라남도 담양군 대전면
7588,경상남도,거창군,남하면,거위,1,경상남도 거창군 남하면
7589,경상북도,김천시,감천면,염소,5,경상북도 김천시 감천면
7590,전라북도,김제시,공덕면,돼지,14,전라북도 김제시 공덕면
7591,강원도,강릉시,노암동,닭,3,강원도 강릉시 노암동
7592,충청북도,청주시 상당구,북문로2가,관상조,1,충청북도 청주시 상당구 북문로2가
7593,전라북도,무주군,적상면,칠면조,5,전라북도 무주군 적상면
7594,전라남도,곡성군,오곡면,관상조,1,전라남도 곡성군 오곡면
7595,경상북도,고령군,성산면,돼지,6,경상북도 고령군 성산면
7596,충청북도,음성군,소이면,돼지,3,충청북도 음성군 소이면
7597,경상남도,김해시,대동면,염소,8,경상남도 김해시 대동면
7598,강원도,횡성군,횡성읍,오리,1,강원도 횡성군 횡성읍
7599,충청남도,예산군,덕산면,꿀벌,1,충청남도 예산군 덕산면
7600,충청북도,충주시,동량면,꿀벌,7,충청북도 충주시 동량면
7601,부산광역시,기장군,철마면,염소,5,부산광역시 기장군 철마면
