ROW_NUM,FARM_DISEASE_NM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO
18898,구제역,강원도,횡성군,공근면,돼지,309905
18899,구제역,경상남도,거제시,삼거동,소,58
18900,고병원성조류인플루엔자,강원도,인제군,기린면,메추리,210
18901,고병원성조류인플루엔자,대구광역시,수성구,사월동,닭,1659
18902,고병원성조류인플루엔자,경기도,고양시 덕양구,신원동,닭,1873
18903,구제역,강원도,춘천시,북산면,염소,3176
18904,구제역,전라북도,순창군,풍산면,소,2247
18905,구제역,경기도,고양시 덕양구,관산동,소,692
18906,고병원성조류인플루엔자,전라남도,영암군,도포면,오리,2588500
18907,구제역,경상북도,고령군,덕곡면,돼지,1074770
18908,구제역,강원도,홍천군,동면,돼지,183758
18909,고병원성조류인플루엔자,경상남도,거제시,덕포동,메추리,375
18910,고병원성조류인플루엔자,강원도,영월군,김삿갓면,거위,65
18911,고병원성조류인플루엔자,충청남도,아산시,신창면,거위,42
18912,고병원성조류인플루엔자,충청북도,충주시,신니면,꿩,58
18913,구제역,전라북도,남원시,주천면,소,2341
18914,,경상북도,경주시,산내면,꿀벌,10020
18915,고병원성조류인플루엔자,경상북도,고령군,운수면,오리,475
