ROW_NUM,FARM_DISEASE_NM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO
18546,고병원성조류인플루엔자,충청북도,충주시,목벌동,오리,0
18547,구제역,충청남도,서산시,대산읍,염소,2100
18548,고병원성조류인플루엔자,충청남도,천안시 동남구,병천면,오리,517507
18549,구제역,강원도,원주시,행구동,염소,732
18550,구제역,경기도,여주시,산북면,염소,747
18551,구제역,전라남도,장성군,남면,소,1124
18552,고병원성조류인플루엔자,강원도,양구군,방산면,칠면조,139
18553,고병원성조류인플루엔자,경상북도,군위군,산성면,닭,2909
18554,구제역,전라남도,무안군,현경면,사슴,527
18555,구제역,전라남도,영암군,학산면,염소,235
18556,고병원성조류인플루엔자,강원도,강릉시,구정면,칠면조,113
18557,구제역,경상북도,김천시,조마면,염소,4718
18558,고병원성조류인플루엔자,충청남도,서산시,잠홍동,닭,1288
18559,,충청남도,서산시,잠홍동,말,1
18560,구제역,충청남도,부여군,규암면,사슴,5
18561,,전라북도,익산시,웅포면,토끼,17
18562,,울산광역시,울주군,온산읍,토끼,675
18563,구제역,경상남도,창원시 의창구,동읍,염소,1817
18564,구제역,충청남도,서천군,판교면,사슴,2081
18565,,충청북도,보은군,속리산면,꿀벌,2495
18566,고병원성조류인플루엔자,경상남도,양산시,호계동,닭,4667
18567,,충청남도,청양군,운곡면,꿀벌,8898
18568,고병원성조류인플루엔자,부산광역시,강서구,봉림동,닭,14292
18569,고병원성조류인플루엔자,경기도,파주시,문산읍,닭,5686468
18570,구제역,대구광역시,동구,백안동,염소,2331
18571,고병원성조류인플루엔자,경기도,포천시,자작동,닭,1725
18572,구제역,경상북도,울릉군,서면,염소,1840
18573,,경기도,구리시,교문동,꿀벌,3138
18574,구제역,경상남도,합천군,가회면,염소,6001
18575,고병원성조류인플루엔자,경기도,이천시,마장면,닭,6378256
18576,고병원성조류인플루엔자,경기도,수원시 장안구,율전동,닭,371
18577,고병원성조류인플루엔자,충청남도,홍성군,서부면,오리,163
18578,구제역,충청남도,홍성군,갈산면,사슴,22
18579,고병원성조류인플루엔자,경기도,고양시 덕양구,도내동,닭,53459
18580,고병원성조류인플루엔자,전라남도,여수시,화양면,칠면조,20
18581,고병원성조류인플루엔자,전라북도,임실군,신평면,닭,8554
18582,구제역,전라남도,곡성군,입면,염소,1070
18583,고병원성조류인플루엔자,경기도,과천시,주암동,닭,1701
18584,구제역,경상남도,밀양시,무안면,소,8911
18585,구제역,전라남도,신안군,흑산면,염소,222
18586,구제역,충청북도,보은군,보은읍,산양,7
18587,구제역,전라남도,진도군,진도읍,염소,66
18588,고병원성조류인플루엔자,충청남도,예산군,삽교읍,칠면조,7
18589,고병원성조류인플루엔자,강원도,철원군,갈말읍,거위,377
18590,고병원성조류인플루엔자,전라북도,익산시,정족동,닭,679
18591,고병원성조류인플루엔자,대구광역시,북구,동변동,닭,6701
18592,,인천광역시,강화군,양사면,토끼,59
18593,고병원성조류인플루엔자,대전광역시,유성구,원내동,닭,765
18594,구제역,경기도,가평군,조종면,소,1817
18595,구제역,전라북도,남원시,덕과면,소,1347
18596,구제역,강원도,홍천군,두촌면,염소,211
18597,,경기도,화성시,양감면,말,265
18598,고병원성조류인플루엔자,전라남도,해남군,황산면,닭,7869293
18599,고병원성조류인플루엔자,전라북도,장수군,계남면,닭,1509657
18600,고병원성조류인플루엔자,충청북도,괴산군,감물면,거위,7
18601,구제역,전라남도,해남군,현산면,돼지,860520
